Lubbock,33.5657,-101.8879,259946
North Las Vegas,36.2883,-115.0888,259638
St. Petersburg,27.7931,-82.6652,258245
Tallahassee,30.4551,-84.2527,257648
Laredo,27.5625,-99.4874,256748
Peoria,40.752,-89.6154,255718
Avondale,33.3873,-112.3235,254537
Lafayette,30.2082,-92.0325,254286
Irving,32.8583,-96.9702,254184
Montgomery,32.3482,-86.2668,253711
Visalia,36.3276,-119.3269,249804
McKinney,33.2016,-96.667,248840
Wilmington,34.2099,-77.8866,247372
Chesapeake,36.6778,-76.3023,247172
Glendale,33.5791,-112.2311,245685
Garland,32.91,-96.6304,245075
Kennewick,46.1978,-119.1732,241230
Winter Haven,28.0118,-81.7014,240768
Scottsdale,33.6872,-111.8651,238685
Norfolk,36.8945,-76.259,238556
Killeen,31.0753,-97.7297,238288
York,39.9651,-76.7315,236818
Atlantic City,39.3797,-74.4527,236314
Nashua,42.7491,-71.491,235982
Arlington,38.8786,-77.1011,235764
Brownsville,25.9975,-97.458,235735
Fremont,37.5265,-121.9843,231502
Gulfport,30.4274,-89.0704,231423
Evansville,37.9881,-87.5341,226788
Hialeah,25.8696,-80.3045,224362
Navarre,30.4174,-86.8907,223951
Bel Air South,39.5022,-76.3113,222834
North Port,27.0576,-82.1977,221616
San Bernardino,34.1416,-117.2943,220821
Portland,43.6773,-70.2715,220807
Enterprise,36.0091,-115.2278,219566
Bremerton,47.5436,-122.7121,219538
Green Bay,44.5148,-87.9895,219472
Appleton,44.278,-88.3892,218448
Spring Valley,36.0952,-115.2636,217441
Tacoma,47.2431,-122.4531,217332
Spartanburg,34.9442,-81.9251,216021
Roanoke,37.2785,-79.9581,215781
Gainesville,29.6804,-82.3459,213287
Deltona,28.905,-81.2137,212616
Kalamazoo,42.2749,-85.5882,212033
Thousand Oaks,34.1914,-118.8756,211045
Hickory,35.741,-81.3223,211042
Yonkers,40.9466,-73.8673,209730
Moreno Valley,33.9244,-117.2045,208371
Fontana,34.0968,-117.4599,208087
College Station,30.5852,-96.2959,207514
Fargo,46.8651,-96.8292,207310
Amarillo,35.1984,-101.8316,204357
Norwich,41.5495,-72.0882,201726
Olympia,47.0417,-122.8959,200836
Waterbury,41.5582,-73.0361,199552
Salinas,36.6883,-121.6317,199290
Huntington,38.4109,-82.4345,199133
Huntington Beach,33.696,-118.0018,198735
Clarksville,36.5692,-87.3413,198689
Santa Barbara,34.4285,-119.7202,198240
Glendale,34.1819,-118.2468,196512
Sunrise Manor,36.1783,-115.0487,196411
Grand Prairie,32.6871,-97.0208,195992
Overland Park,38.887,-94.687,195249
Hagerstown,39.6401,-77.7217,194602
Nampa,43.5844,-116.5638,194547
Gastonia,35.2494,-81.1854,194190
Frisco,33.156,-96.8216,193140
Cedar Rapids,41.9662,-91.6783,192714
Hemet,33.7341,-116.9969,191170
Paradise,36.0872,-115.1355,189852
Sioux Falls,43.5396,-96.7311,189258
Vancouver,45.6366,-122.5967,188331
Peoria,33.7843,-112.2989,187733
Waco,31.5599,-97.1882,187172
Lorain,41.4409,-82.184,186500
Erie,42.1167,-80.0733,186489
Newport News,37.1051,-76.5185,185069
Aurora,41.7638,-88.2902,183447
Fort Lauderdale,26.1412,-80.1464,182247
Vallejo,38.1125,-122.2342,181882
Murfreesboro,35.849,-86.4121,181450
Spring Hill,28.4798,-82.53,179668
Tempe,33.3881,-111.9319,178862
High Point,35.991,-79.9937,178800
Medford,42.3372,-122.854,178457
Danbury,41.4015,-73.4709,177722
Elk Grove,38.4161,-121.3842,175510
Ontario,34.0393,-117.6064,175223
Frederick,39.4337,-77.4141,175032
Vero Beach South,27.6132,-80.4163,174748
Ocala,29.178,-82.1511,174618
Oceanside,33.2247,-117.3083,174461
Rancho Cucamonga,34.1247,-117.5667,173946
Garden Grove,33.7787,-117.9601,172708
Cary,35.7819,-78.8195,171603
Pembroke Pines,26.0128,-80.3382,170346
Bayamón,18.3794,-66.1635,170028
Palmdale,34.5944,-118.1057,167987
Manchester,42.9848,-71.4447,167568
Lafayette,40.3991,-86.8593,166793
Santa Cruz,36.9789,-122.0346,165933
Marysville,48.0809,-122.1561,164655
Muskegon,43.2281,-86.2562,164136
Springfield,39.7709,-89.654,162588
Hayward,37.6328,-122.0766,162254
New Bedford,41.6697,-70.9428,158353
Alexandria,38.8185,-77.0861,158185
Paterson,40.9147,-74.1624,157927
